dataset,encoder,split,color_mode,approach,lora,n_pairs,mAP,R@1,R@3,R@5,R@10,seasonal_drift@5
qfabric_teo,georsclip,train,rgb,naive,False,2422,0.2714420465182762,0.0006958972570897257,0.0027821362157136216,0.004525535807070387,0.008400406885208756,0.0
qfabric_teo,georsclip,train,rgb,peft,False,2422,0.9989022955354571,0.004543061122635944,0.013629183367907832,0.02271530561317972,0.04543061122635944,0.0
qfabric_teo,georsclip,train,rgb,zero_shot,False,2422,0.17980270045375393,0.0003486750348675035,0.0014165961014810386,0.00213584213322707,0.004573673960518655,0.0
qfabric_teo,remoteclip,eval,rgb,naive,False,2476,0.23349874190037515,0.0010416666666666667,0.0031250000000000006,0.004861111111111111,0.008333333333333333,0.0
qfabric_teo,remoteclip,eval,rgb,zero_shot,False,2476,0.18032137444015028,0.0,0.0035818713450292395,0.0042763157894736845,0.00889985380116959,0.0
qfabric_teo,remoteclip,test,rgb,naive,False,2048,0.24452595604369634,0.00183531746031746,0.004712301587301587,0.005753968253968254,0.009573412698412699,0.0
qfabric_teo,remoteclip,test,rgb,peft,False,2048,0.2880135977280618,0.00034722222222222224,0.02405753968253968,0.025099206349206347,0.027529761904761904,0.0
qfabric_teo,remoteclip,test,rgb,zero_shot,False,2048,0.18264134915694538,0.0010416666666666667,0.001388888888888889,0.0034722222222222225,0.005902777777777778,0.0
qfabric_teo,remoteclip,train,rgb,naive,False,2422,0.24369605048725687,0.001067921066613535,0.0024597155807929865,0.003155612837882712,0.006709503885236103,0.0
qfabric_teo,remoteclip,train,rgb,peft,False,2422,0.9988622528095084,0.004543061122635944,0.013629183367907832,0.02271530561317972,0.04543061122635944,0.0
qfabric_teo,remoteclip,train,rgb,zero_shot,False,2422,0.17926940054790497,0.0006958972570897257,0.0038238150908899127,0.004891736157503448,0.00663075289390512,0.0
dynamic_earthnet,georsclip,test,rgb,zero_shot,,,,,,,,
dynamic_earthnet_planet,clip_vitl14,test,rgb,naive,False,55,0.2038533834586466,0.0,0.0,0.5,0.6666666666666666,0.0
dynamic_earthnet_planet,clip_vitl14,test,rgb,peft,False,55,0.10950129209933131,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0
dynamic_earthnet_planet,clip_vitl14,test,rgb,zero_shot,False,55,0.031644129274822214,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet_planet,clip_vitl14,train,rgb,naive,False,143,0.05012803113497867,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet_planet,clip_vitl14,train,rgb,peft,False,143,0.5705815811172954,0.12857142857142856,0.36190476190476184,0.5071428571428571,0.9428571428571428,0.2708333333333333
dynamic_earthnet_planet,clip_vitl14,train,rgb,zero_shot,False,143,0.06797042043709775,0.0,0.02857142857142857,0.12857142857142856,0.12857142857142856,0.0
