dataset,encoder,split,color_mode,approach,lora,n_queries,n_pairs,mAP,rand_mAP,lift,perm_p,bh_fdr,ap_min,ap_max,leakage
qfabric_status,clip_vitl14,eval,rgb,zero_shot,False,6,4200,0.0573,0.0448,1.28,0.0,0.0,0.01,0.117,False
qfabric_status,georsclip,eval,rgb,naive,False,6,4200,0.079,0.0448,1.76,0.0,0.0,0.013,0.174,False
qfabric_status,georsclip,eval,rgb,zero_shot,False,6,4200,0.0841,0.0448,1.88,0.0,0.0,0.007,0.184,False
qfabric_status,remoteclip,eval,rgb,naive,False,6,4200,0.0644,0.0448,1.44,0.0,0.0,0.011,0.137,False
qfabric_status,remoteclip,eval,rgb,zero_shot,False,6,4200,0.0718,0.0448,1.6,0.0,0.0,0.008,0.161,False
qfabric_teo,clip_vitl14,eval,rgb,naive,False,6,2476,0.2743,0.1691,1.62,0.0,0.0,0.025,0.497,False
qfabric_teo,clip_vitl14,eval,rgb,zero_shot,False,6,2476,0.187,0.1692,1.11,0.0,0.0,0.036,0.262,False
qfabric_teo,clip_vitl14,test,rgb,naive,False,6,2048,0.2689,0.1696,1.59,0.0,0.0,0.006,0.556,False
qfabric_teo,clip_vitl14,test,rgb,peft,False,6,2048,0.2707,0.1697,1.59,0.0,0.0,0.031,0.423,False
qfabric_teo,clip_vitl14,test,rgb,zero_shot,False,6,2048,0.1853,0.1697,1.09,0.0005,0.0015,0.008,0.305,False
qfabric_teo,clip_vitl14,train,rgb,naive,False,6,2422,0.2785,0.1693,1.64,0.0,,0.021,0.492,False
qfabric_teo,clip_vitl14,train,rgb,peft,False,6,2422,0.998,0.1692,5.9,0.0,,0.99,1.0,True
qfabric_teo,clip_vitl14,train,rgb,zero_shot,False,6,2422,0.189,0.1693,1.12,0.0,,0.035,0.263,False
qfabric_teo,georsclip,eval,rgb,naive,False,6,2476,0.2694,0.1691,1.59,0.0,0.0,0.04,0.522,False
qfabric_teo,georsclip,eval,rgb,zero_shot,False,6,2476,0.182,0.1692,1.08,0.0003,0.001,0.034,0.245,False
qfabric_teo,georsclip,test,rgb,naive,False,6,2048,0.2725,0.1695,1.61,0.0,0.0,0.013,0.589,False
qfabric_teo,georsclip,test,rgb,peft,False,6,2048,0.334,0.1696,1.97,0.0,0.0,0.084,0.491,False
qfabric_teo,georsclip,test,rgb,zero_shot,False,6,2048,0.1806,0.1696,1.06,0.0063,0.0171,0.007,0.28,False
qfabric_teo,georsclip,train,rgb,naive,False,6,2422,0.2714,0.1693,1.6,0.0,,0.032,0.516,False
qfabric_teo,georsclip,train,rgb,peft,False,6,2422,0.9989,0.1692,5.9,0.0,,0.996,1.0,True
qfabric_teo,georsclip,train,rgb,zero_shot,False,6,2422,0.1798,0.1692,1.06,0.0013,,0.03,0.237,False
qfabric_teo,remoteclip,eval,rgb,naive,False,6,2476,0.2335,0.1692,1.38,0.0,0.0,0.026,0.382,False
qfabric_teo,remoteclip,eval,rgb,zero_shot,False,6,2476,0.1803,0.1693,1.07,0.0,0.0,0.04,0.241,False
qfabric_teo,remoteclip,test,rgb,naive,False,6,2048,0.2445,0.1696,1.44,0.0,0.0,0.013,0.458,False
qfabric_teo,remoteclip,test,rgb,peft,False,6,2048,0.288,0.1695,1.7,0.0,0.0,0.098,0.42,False
qfabric_teo,remoteclip,test,rgb,zero_shot,False,6,2048,0.1826,0.1696,1.08,0.0022,0.0065,0.014,0.282,False
qfabric_teo,remoteclip,train,rgb,naive,False,6,2422,0.2437,0.1693,1.44,0.0,,0.021,0.443,False
qfabric_teo,remoteclip,train,rgb,peft,False,6,2422,0.9989,0.1692,5.9,0.0,,0.996,1.0,True
qfabric_teo,remoteclip,train,rgb,zero_shot,False,6,2422,0.1793,0.1692,1.06,0.001,,0.034,0.238,False
